product_id,product_category_name,seller_id,seller_city,total_vendido
bb50f2e236e5eea0100680137654686c,beleza_saude,f7ba60f8c3f99e7ee4042fdef03b70c4,sao bernardo do campo,63560.0
6cdd53843498f92890544667809f1595,beleza_saude,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,53652.299285888672
d6160fb7873f184099d9bc95e30376af,pcs,53243585a1d6dc2643021fd1853d8905,lauro de freitas,45949.349975585938
d1c427060a0f73f6b889a5c7c61f2ac4,informatica_acessorios,a1043bafd471dff536d0c462352beb48,ilicinea,45620.56046295166
99a4788cb24856965c36a24e339b6058,cama_mesa_banho,4a3ca9315b744ce9f8e9374361493884,ibitinga,41542.500679016113
3dd2a17168ec895c781a9191c1e95ad7,informatica_acessorios,de722cd6dad950a92b7d4f82673f8833,recife,40782.79833984375
5f504b3a1c75b73d6151be81eb05bdc9,cool_stuff,834f3294fba9f932f56edc879193f925,araraquara,37733.899963378906
aca2eb7d00ea1a7b8ebd4e68314663af,moveis_decoracao,955fee9216a65b617aa5c0531780ce60,sao paulo,37104.300621032715
25c38557cf793876c5abdd5931f922db,bebes,5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d'oeste,31774.320068359375
f1c7f353075ce59d8a6f3cf58f419c9c,cama_mesa_banho,37be5a7c751166fbc5f8ccba4119e043,sao paulo,29792.359985351562