order_id,product_id,product_category_name,approved_datetime,quantidade_vendida,total_vendido
03caa2c082116e1d31e67e9ae3700499,5769ef0a239114ac3a854af00df129e4,telefonia_fixa,2017-10-02 15:28:00.000000 UTC,8,13440.0
2cc9089445046817a7539d90805e6e5a,c183fd5d2abf05873fa6e1014ed9e06c,agro_industria_e_comercio,2017-11-28 12:55:00.000000 UTC,6,5934.599853515625
a53e05ecd2ed1f46a2b8e1f5828be7c6,dd113cb02b2af9c8e5787e8f1f0722f6,esporte_lazer,2018-01-27 14:35:00.000000 UTC,1,3690.0
66b9c991ee308f9342f6a7f63bb68251,19936fa4f614ee0590d3b77ac83fd648,telefonia_fixa,2018-02-11 14:35:00.000000 UTC,2,3300.0
f398a143c0fe171d965db2096cf064cf,0c104824e973388d487c67a3d346e96d,beleza_saude,2017-12-17 09:30:00.000000 UTC,1,3124.0
31e50461be6957a749166e97af082d0a,6054d161235b97a4aaccea2a086d30b8,construcao_ferramentas_seguranca,2018-02-09 16:50:00.000000 UTC,1,3099.89990234375
0af28d87520565eb3b57c9b2abe1a2cc,34f99d82cfc355d08d8db780d14aa002,pcs,2017-10-05 20:28:00.000000 UTC,1,2999.989990234375
d9956b0805e324db3f2a546ef216c10b,34f99d82cfc355d08d8db780d14aa002,pcs,2017-10-10 15:06:00.000000 UTC,1,2999.989990234375
d7a2c0c1ff66b314f3bf166fb4157fd4,2b69866f22de8dad69c976771daba91c,agro_industria_e_comercio,2017-11-20 22:39:00.000000 UTC,1,2990.0
d3fc45461660252856d603ed31eb4e77,797897e182469fff3c330560d2fc851f,beleza_saude,2017-11-21 03:59:00.000000 UTC,1,2899.0